Area,Months,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Bulgaria,January,0.162000,1.357000,-4.480000,-2.889000,1.486000,-0.361000,-1.937000,-1.082000,-3.669000,1.517000,2.530000,-0.073000,-0.792000,-0.533000,1.349000,1.511000,0.758000,0.308000,0.116000,-2.337000,-1.226000,0.075000,2.744000,2.670000,-1.886000,2.323000,-1.157000,3.123000,1.021000,-0.706000,1.050000,0.725000,0.479000,3.745000,-0.076000,-0.818000,0.813000,2.504000,1.690000,-2.539000,3.186000,0.096000,1.600000,-0.680000,2.226000,-1.662000,5.643000,-0.220000,1.397000,0.147000,0.761000,-0.286000,1.778000,3.513000,2.087000,0.302000,-3.295000,2.995000,1.119000
Bulgaria,February,0.124000,-1.436000,-0.829000,-1.293000,-4.244000,4.940000,-1.463000,1.772000,-0.283000,0.971000,0.374000,-0.058000,1.823000,2.024000,-1.031000,-2.464000,4.875000,0.523000,0.374000,-0.913000,-0.496000,-2.063000,-0.562000,-0.342000,-5.015000,-1.838000,0.257000,0.956000,2.383000,3.057000,-1.979000,-0.306000,-2.203000,0.688000,4.197000,-2.367000,1.293000,2.158000,0.124000,1.550000,2.190000,5.147000,-4.333000,0.909000,-2.006000,-0.668000,3.026000,1.717000,0.818000,0.982000,-0.457000,-4.531000,2.522000,2.998000,1.103000,6.249000,1.958000,1.520000,2.385000
Bulgaria,March,2.276000,-0.400000,-1.742000,-0.463000,-0.081000,0.794000,1.033000,0.252000,-2.300000,1.049000,-0.788000,1.027000,-1.710000,0.647000,3.191000,-1.365000,2.033000,1.492000,2.769000,-0.673000,2.682000,-0.554000,1.843000,-1.175000,-1.134000,-0.279000,-4.311000,0.712000,3.396000,3.963000,0.985000,0.954000,-0.866000,2.850000,1.132000,-3.842000,-0.382000,-0.993000,1.796000,0.964000,5.025000,3.291000,-1.360000,1.638000,-0.232000,0.991000,2.595000,3.588000,0.873000,1.151000,0.632000,1.741000,1.385000,3.570000,1.073000,2.922000,3.988000,1.455000,4.055000
Bulgaria,April,2.624000,0.308000,-0.569000,0.374000,-1.967000,1.764000,-0.078000,2.277000,-1.223000,1.715000,-0.309000,2.359000,-0.305000,-1.882000,1.295000,0.321000,-0.170000,-0.381000,-0.757000,-1.261000,-0.358000,-1.404000,2.262000,-1.745000,1.618000,2.438000,-1.092000,-0.894000,3.138000,0.741000,-0.937000,0.476000,-0.215000,1.758000,-0.038000,-0.893000,-3.637000,2.473000,1.598000,2.883000,0.076000,-0.470000,-1.408000,1.007000,0.374000,1.361000,0.831000,1.823000,1.055000,1.123000,-0.488000,2.405000,2.277000,1.100000,0.165000,3.576000,0.180000,4.474000,0.899000
Bulgaria,May,-0.793000,1.233000,0.130000,-1.477000,-0.943000,-0.369000,0.324000,3.120000,2.508000,-1.485000,1.160000,0.374000,0.769000,-1.064000,0.842000,-0.581000,0.380000,-0.809000,0.532000,-1.429000,-1.485000,0.247000,1.676000,0.800000,2.161000,0.644000,-1.317000,-0.055000,-0.928000,-0.304000,-2.212000,-1.074000,0.532000,1.219000,-0.338000,2.422000,1.251000,0.052000,0.379000,1.320000,0.544000,1.155000,3.049000,-0.884000,0.893000,0.586000,2.240000,0.730000,1.471000,1.136000,0.012000,0.910000,2.801000,0.190000,1.991000,0.164000,0.737000,3.312000,0.680000
Bulgaria,June,0.208000,-0.613000,0.629000,1.011000,0.403000,-1.004000,-1.251000,0.251000,-0.079000,-0.109000,-0.173000,1.421000,-0.691000,-0.734000,0.247000,-1.504000,-0.321000,-0.223000,1.445000,-0.439000,1.579000,0.658000,-1.181000,-0.778000,-0.475000,0.280000,0.596000,0.190000,-1.228000,0.158000,0.543000,0.156000,0.707000,0.230000,1.415000,1.272000,1.000000,1.421000,1.541000,1.155000,-0.146000,1.750000,2.748000,0.263000,-0.675000,0.510000,2.995000,1.722000,1.292000,0.949000,0.907000,2.889000,1.222000,0.214000,0.494000,2.397000,2.219000,1.732000,3.262000
Bulgaria,July,-0.529000,0.368000,0.998000,-0.441000,0.676000,0.358000,0.092000,0.039000,-1.733000,0.265000,-1.257000,0.452000,-0.015000,-0.755000,0.142000,-0.820000,0.279000,-0.620000,-1.254000,-0.114000,-0.765000,-1.020000,0.436000,-1.248000,-0.215000,-0.690000,1.977000,2.606000,-0.359000,0.760000,0.247000,-0.469000,0.092000,1.158000,1.220000,0.646000,0.205000,1.413000,1.676000,2.039000,2.241000,2.362000,1.297000,0.461000,0.652000,0.532000,3.455000,1.013000,1.690000,1.301000,1.627000,4.305000,0.908000,0.790000,2.430000,2.005000,1.692000,1.393000,1.258000
Bulgaria,August,-0.034000,1.846000,1.728000,-1.034000,-1.621000,0.864000,0.894000,-1.301000,-0.002000,-0.181000,0.542000,-0.273000,-1.250000,0.192000,-0.958000,-3.468000,-0.089000,-1.488000,-1.048000,-0.788000,-0.740000,-0.242000,-1.058000,-1.660000,0.774000,1.329000,-0.618000,1.366000,0.594000,0.238000,-0.438000,2.824000,1.152000,1.703000,-0.271000,0.633000,-1.247000,1.924000,1.613000,1.814000,2.536000,0.168000,2.846000,0.285000,0.305000,1.461000,2.217000,2.654000,1.269000,3.357000,1.389000,2.853000,2.464000,1.528000,1.015000,1.747000,2.359000,2.377000,2.583000
Bulgaria,September,-0.154000,0.572000,1.487000,-1.057000,1.300000,-0.015000,0.844000,0.158000,0.765000,-0.393000,-1.647000,-1.820000,0.693000,0.573000,1.769000,-1.352000,-1.395000,-1.623000,0.310000,-0.992000,0.472000,2.177000,0.132000,1.439000,-0.061000,0.937000,2.541000,0.529000,-0.253000,-0.645000,0.355000,-0.178000,0.407000,4.437000,-0.284000,-1.971000,-1.610000,-0.707000,1.363000,0.038000,0.982000,-0.319000,-0.575000,0.472000,0.553000,0.669000,-0.470000,-0.237000,0.846000,0.954000,3.314000,2.711000,0.339000,0.610000,2.616000,1.459000,1.886000,1.682000,2.214000
Bulgaria,October,0.451000,0.659000,0.177000,1.554000,-1.010000,3.908000,1.415000,-0.754000,-0.494000,-1.426000,-1.815000,-2.414000,0.036000,1.401000,-0.154000,-0.195000,-1.131000,-0.360000,-1.532000,1.516000,2.253000,0.997000,-0.823000,2.836000,-1.280000,-0.641000,-1.200000,-1.221000,-0.394000,0.747000,0.255000,2.102000,2.511000,0.713000,-0.398000,-0.423000,-1.995000,1.235000,1.038000,0.511000,2.308000,0.409000,-0.488000,2.145000,-0.104000,1.573000,0.563000,1.376000,1.090000,-1.624000,-1.074000,3.320000,0.622000,0.236000,0.203000,-0.121000,0.666000,2.274000,2.921000
Bulgaria,November,2.009000,2.752000,2.495000,0.508000,-0.381000,1.111000,0.364000,0.597000,2.253000,0.679000,-0.632000,-0.022000,-2.781000,-1.336000,-2.323000,0.459000,1.746000,-2.506000,0.302000,0.221000,-2.383000,-1.671000,-3.077000,-0.321000,-0.385000,-2.163000,0.438000,-5.712000,-1.821000,1.924000,-0.201000,0.337000,-4.348000,-1.020000,-3.618000,1.425000,-0.146000,-2.120000,-0.722000,2.756000,-1.295000,1.470000,0.730000,0.575000,-1.395000,-0.007000,-1.967000,0.868000,1.658000,4.599000,-2.710000,2.030000,2.174000,0.146000,2.882000,-0.106000,0.674000,0.245000,4.489000
